dataset_name,identifier,directory
2018-SmartUnitn2-Trento-Accelerometer,002.AAAB.AAA.AY,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Motion/accelerometer.parquet
2018-SmartUnitn2-Trento-Activities,002.AAAB.AAA.CF,
2018-SmartUnitn2-Trento-Airplane Mode,002.AAAB.AAA.BS,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/airplanemode.parquet
2018-SmartUnitn2-Trento-Ambient Temperature,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Environment/ambienttemperature.parquet
2018-SmartUnitn2-Trento-Application,002.AAAB.AAA.AG,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/App-usage/application.parquet
2018-SmartUnitn2-Trento-Battery Charge,002.AAAB.AAA.BT,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/batterycharge.parquet
2018-SmartUnitn2-Trento-Battery Monitoring Log,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/batterymonitoringlog.parquet
2018-SmartUnitn2-Trento-Cellular Network,002.AAAB.AAA.AM,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Connectivity/cellularnetwork.parquet
2018-SmartUnitn2-Trento-Doze,002.AAAB.AAA.BV,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/doze.parquet
2018-SmartUnitn2-Trento-Gravity,002.AAAB.AAA.BA,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Motion/gravity.parquet
2018-SmartUnitn2-Trento-Gyroscope,002.AAAB.AAA.BB,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Motion/gyroscope.parquet
2018-SmartUnitn2-Trento-Headset Plug,002.AAAB.AAA.AH,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/App-usage/headsetplug.parquet
2018-SmartUnitn2-Trento-Light,002.AAAB.AAA.AR,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Environment/light.parquet
2018-SmartUnitn2-Trento-Linear Acceleration,002.AAAB.AAA.BD,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Motion/linearacceleration.parquet
2018-SmartUnitn2-Trento-Location RD,002.AAAB.AAA.CD,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Position/location_rd.parquet
2018-SmartUnitn2-Trento-Magnetic Field,002.AAAB.AAA.BP,
2018-SmartUnitn2-Trento-Music,002.AAAB.AAA.AI,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/App-usage/music.parquet
2018-SmartUnitn2-Trento-Notification,002.AAAB.AAA.AJ,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/App-usage/notification.parquet
2018-SmartUnitn2-Trento-Orientation,002.AAAB.AAA.BQ,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Position/orientation.parquet
2018-SmartUnitn2-Trento-Pressure,002.AAAB.AAA.AS,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Environment/pressure.parquet
2018-SmartUnitn2-Trento-Proximity,002.AAAB.AAA.BR,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Position/proximity.parquet
2018-SmartUnitn2-Trento-Questionnaire,002.AAAB.AAA.AA,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Synchronic-Interactions/questionnaire.parquet
2018-SmartUnitn2-Trento-Relative Humidity,002.AAAB.AAA.AT,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Environment/relativehumidity.parquet
2018-SmartUnitn2-Trento-Ring Mode,002.AAAB.AAA.BW,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/ringmode.parquet
2018-SmartUnitn2-Trento-Rotation Vector,002.AAAB.AAA.BG,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Motion/rotationvector.parquet
2018-SmartUnitn2-Trento-Screen,002.AAAB.AAA.BX,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/screen.parquet
2018-SmartUnitn2-Trento-Time Diaries,002.AAAB.AAA.CG,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Diachronic-Interactions/timediariesanswers.parquet
2018-SmartUnitn2-Trento-Touch,002.AAAB.AAA.BY,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Device-usage/touch.parquet
2018-SmartUnitn2-Trento-Wifi,002.AAAB.AAA.AN,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Connectivity/wifi.parquet
2018-SmartUnitn2-Trento-Wifi Networks,002.AAAB.AAA.AO,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2/v3/Location/Site_Trento_IT/Sensors/Connectivity/wifinetworks.parquet
2018-SmartUnitn2_KGE_2024-None-Accelerometer,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/accelerometerevent.parquet
2018-SmartUnitn2_KGE_2024-None-Airplane Mode,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/airplanemodeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Application,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/App-usage/applicationevent.parquet
2018-SmartUnitn2_KGE_2024-None-Battery Charge,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/batterychargeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Battery Monitoring Log,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/batterymonitoringlog.parquet
2018-SmartUnitn2_KGE_2024-None-Cellular Network,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Connectivity/cellularnetwork.parquet
2018-SmartUnitn2_KGE_2024-None-Doze,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/dozeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Gravity,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/gravityevent.parquet
2018-SmartUnitn2_KGE_2024-None-Gyroscope,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/gyroscopeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Headset Plug,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/App-usage/headsetplugevent.parquet
2018-SmartUnitn2_KGE_2024-None-Light,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Environment/lightevent.parquet
2018-SmartUnitn2_KGE_2024-None-Linear Acceleration,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/linearaccelerationevent.parquet
2018-SmartUnitn2_KGE_2024-None-Location RD,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Position/locationeventpertime_rd.parquet
2018-SmartUnitn2_KGE_2024-None-Music,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/App-usage/musicevent.parquet
2018-SmartUnitn2_KGE_2024-None-None,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Environment/ambienttemperatureevent.parquet
2018-SmartUnitn2_KGE_2024-None-Notification,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/App-usage/notificationevent.parquet
2018-SmartUnitn2_KGE_2024-None-Orientation,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Position/orientationevent.parquet
2018-SmartUnitn2_KGE_2024-None-Pressure,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Environment/pressureevent.parquet
2018-SmartUnitn2_KGE_2024-None-Proximity,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Position/proximityevent.parquet
2018-SmartUnitn2_KGE_2024-None-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Synchronic-Interactions/questionnaire.parquet
2018-SmartUnitn2_KGE_2024-None-Relative Humidity,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Environment/relativehumidityevent.parquet
2018-SmartUnitn2_KGE_2024-None-Ring Mode,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/ringmodeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Rotation Vector,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/rotationvectorevent.parquet
2018-SmartUnitn2_KGE_2024-None-Screen,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/screenevent.parquet
2018-SmartUnitn2_KGE_2024-None-Time Diaries,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Diachronic-Interactions/timediariesanswers.parquet
