,title,category,identifier_old,identifier
43,2021-ChatApplication1-Asunción-Questionnaire Exit Survey,Dataset,005.AAAE.AAD.AA,005.AAAE.AAD.AA
78,2020-DiversityOne-Ulaanbaatar-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAB.AA,004.AAAD.AAB.AA
79,2020-DiversityOne-Asunción-Questionnaire Diversity A,Dataset,004.AAAD.AAD.AA,004.AAAD.AAD.AA.1
80,2020-DiversityOne-Jilin-Questionnaire Diversity C,Dataset,004.AAAD.AAF.AA,004.AAAD.AAF.AA.3
95,2020-DiversityOne-Asunción-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAD.AA,004.AAAD.AAD.AA
117,2020-DiversityOne-Jilin-Questionnaire Diversity B,Dataset,004.AAAD.AAF.AA,004.AAAD.AAF.AA.2
121,2020-DiversityOne-Copenhagen-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAC.AA,004.AAAD.AAC.AA
177,2020-DiversityOne-San Luis Potosí-Questionnaire Diversity C,Dataset,004.AAAD.AAH.AA,004.AAAD.AAH.AA.3
183,2024-SmartUnitn2OSM-Trento-Diachronic-Interactions,Dataset Bundle,002.AAAB.AAA.AC,002.AAAB.AAA.AC
198,2020-DiversityOne-Trento-Questionnaire Diversity B,Dataset,004.AAAD.AAA.AA,004.AAAD.AAA.AA.2
207,2020-DiversityOne-Amrita-Questionnaire Diversity C,Dataset,004.AAAD.AAG.AA,004.AAAD.AAG.AA.3
212,2020-DiversityOne-Copenhagen-Questionnaire Diversity B,Dataset,004.AAAD.AAC.AA,004.AAAD.AAC.AA.2
223,2020-DiversityOne-London-Questionnaire Diversity A,Dataset,004.AAAD.AAE.AA,004.AAAD.AAE.AA.1
237,2020-DiversityOne-Trento-Questionnaire Diversity C,Dataset,004.AAAD.AAA.AA,004.AAAD.AAA.AA.3
248,2020-DiversityOne-Amrita-Questionnaire Diversity B,Dataset,004.AAAD.AAG.AA,004.AAAD.AAG.AA.2
250,2020-DiversityOne-Copenhagen-Questionnaire Diversity C,Dataset,004.AAAD.AAC.AA,004.AAAD.AAC.AA.3
255,2020-DiversityOne-Ulaanbaatar-Questionnaire Diversity A,Dataset,004.AAAD.AAB.AA,004.AAAD.AAB.AA.1
271,2020-DiversityOne-London-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAE.AA,004.AAAD.AAE.AA
289,2020-DiversityOne-San Luis Potosí-Questionnaire Diversity B,Dataset,004.AAAD.AAH.AA,004.AAAD.AAH.AA.2
308,2020-DiversityOne-Trento-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAA.AA,004.AAAD.AAA.AA
317,2020-DiversityOne-Amrita-Questionnaire Diversity A,Dataset,004.AAAD.AAG.AA,004.AAAD.AAG.AA.1
324,2020-DiversityOne-Jilin-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAF.AA,004.AAAD.AAF.AA
328,2020-DiversityOne-Ulaanbaatar-Questionnaire Diversity B,Dataset,004.AAAD.AAB.AA,004.AAAD.AAB.AA.2
331,2020-DiversityOne-London-Questionnaire Diversity C,Dataset,004.AAAD.AAE.AA,004.AAAD.AAE.AA.3
333,2020-DiversityOne-San Luis Potosí-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAH.AA,004.AAAD.AAH.AA
363,2020-DiversityOne-San Luis Potosí-Questionnaire Diversity A,Dataset,004.AAAD.AAH.AA,004.AAAD.AAH.AA.1
380,2018-SmartUnitn2-Trento-Time Diaries,Dataset,002.AAAB.AAA.AC,002.AAAB.AAA.AC
433,2020-DiversityOne-Trento-Questionnaire Diversity A,Dataset,004.AAAD.AAA.AA,004.AAAD.AAA.AA.1
450,2020-DiversityOne-Copenhagen-Questionnaire Diversity A,Dataset,004.AAAD.AAC.AA,004.AAAD.AAC.AA.1
455,2020-DiversityOne-Ulaanbaatar-Questionnaire Diversity C,Dataset,004.AAAD.AAB.AA,004.AAAD.AAB.AA.3
460,2020-DiversityOne-London-Questionnaire Diversity B,Dataset,004.AAAD.AAE.AA,004.AAAD.AAE.AA.2
461,2018-SmartUnitn2-Trento-Diachronic-Interactions,Dataset Bundle,002.AAAB.AAA.AC,002.AAAB.AAA.AC
465,2021-ChatApplication1-Asunción-Synchronic-Interactions,Dataset Bundle,005.AAAE.AAD.AA,005.AAAE.AAD.AA
467,2020-DiversityOne-Amrita-Synchronic-Interactions,Dataset Bundle,004.AAAD.AAG.AA,004.AAAD.AAG.AA
498,2020-DiversityOne-Jilin-Questionnaire Diversity A,Dataset,004.AAAD.AAF.AA,004.AAAD.AAF.AA.1
499,2020-DiversityOne-Asunción-Questionnaire Diversity C,Dataset,004.AAAD.AAD.AA,004.AAAD.AAD.AA.3
540,2021-ChatApplication1-Asunción,Project,005.AAAE.AAD.AA,005.AAAE.AAD.**
608,2020-DiversityOne-Asunción-Questionnaire Diversity B,Dataset,004.AAAD.AAD.AA,004.AAAD.AAD.AA.2
