name,identifier,parentIdentifier,experiment,link,sensor_name,sensor_type,isBundle,isDataset,isProject,isVisible,durationFacet,locationFacet,dataTypeFacet,categoryFacet,collectionFacet
2018-SmartUnitn2-Trento-Accelerometer,002.AAAB.AAA.AY,002.AAAB.AAA.BA-BG-BD-AY-BB,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Accelerometer,Accelerometer,Motion,False,True,False,True,1 month,Italy,Motion,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Activities,002.AAAB.AAA.BF,002.AAAB.AAA.BA-BG-BD-AY-BB,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Activities,Activities,Motion,False,True,False,True,1 month,Italy,Motion,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Airplane Mode,002.AAAB.AAA.BS,002.AAAB.AAA.BS-BV-BW-BX-BY-BT,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Airplane%20Mode,Airplane Mode,Device-usage,False,True,False,True,1 month,Italy,Device-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Application,002.AAAB.AAA.AG,002.AAAB.AAA.AG-AH-AI-AJ,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Application,Application,App-usage,False,True,False,True,1 month,Italy,App-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Battery Charge,002.AAAB.AAA.BT,002.AAAB.AAA.BS-BV-BW-BX-BY-BT,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Battery%20Charge,Battery Charge,Device-usage,False,True,False,True,1 month,Italy,Device-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Cellular Network,002.AAAB.AAA.AM,002.AAAB.AAA.AM-AO-AN,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Cellular%20Network,Cellular Network,Connectivity,False,True,False,True,1 month,Italy,Connectivity,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Doze,002.AAAB.AAA.BV,002.AAAB.AAA.BS-BV-BW-BX-BY-BT,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Doze,Doze,Device-usage,False,True,False,True,1 month,Italy,Device-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Gravity,002.AAAB.AAA.BA,002.AAAB.AAA.BA-BG-BD-AY-BB,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Gravity,Gravity,Motion,False,True,False,True,1 month,Italy,Motion,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Gyroscope,002.AAAB.AAA.BB,002.AAAB.AAA.BA-BG-BD-AY-BB,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Gyroscope,Gyroscope,Motion,False,True,False,True,1 month,Italy,Motion,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Headset Plug,002.AAAB.AAA.AH,002.AAAB.AAA.AG-AH-AI-AJ,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Headset%20Plug,Headset Plug,App-usage,False,True,False,True,1 month,Italy,App-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Light,002.AAAB.AAA.AR,002.AAAB.AAA.AS-AT-AR,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Light,Light,Environment,False,True,False,True,1 month,Italy,Environment,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Linear Acceleration,002.AAAB.AAA.BD,002.AAAB.AAA.BA-BG-BD-AY-BB,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Linear%20Acceleration,Linear Acceleration,Motion,False,True,False,True,1 month,Italy,Motion,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Location,002.AAAB.AAA.BM,002.AAAB.AAA.BR-BQ-BM,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Location,Location,Position,False,True,False,True,1 month,Italy,Position,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Magnetic Field,002.AAAB.AAA.BP,002.AAAB.AAA.BR-BQ-BM,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Magnetic%20Field,Magnetic Field,Position,False,True,False,True,1 month,Italy,Position,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Music,002.AAAB.AAA.AI,002.AAAB.AAA.AG-AH-AI-AJ,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Music,Music,App-usage,False,True,False,True,1 month,Italy,App-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Notification,002.AAAB.AAA.AJ,002.AAAB.AAA.AG-AH-AI-AJ,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Notification,Notification,App-usage,False,True,False,True,1 month,Italy,App-usage,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Orientation,002.AAAB.AAA.BQ,002.AAAB.AAA.BR-BQ-BM,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Orientation,Orientation,Position,False,True,False,True,1 month,Italy,Position,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Pressure,002.AAAB.AAA.AS,002.AAAB.AAA.AS-AT-AR,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Pressure,Pressure,Environment,False,True,False,True,1 month,Italy,Environment,Dataset,SmartUnitn2
2018-SmartUnitn2-Trento-Proximity,002.AAAB.AAA.BR,002.AAAB.AAA.BR-BQ-BM,SmartUnitn2,https://datascientiafoundation.github.io/LivePeople/datasets/2018-SmartUnitn2-Trento-Proximity,Proximity,Position,False,True,False,True,1 month,Italy,Position,Dataset,SmartUnitn2
